# Andmed pärinevad leheküljelt "https://www.gloomhavencards.com/fh/characters"


"Tegelane"	"lisa_nimi"	"lisa"	"lisa_kasutused"
"Blinkblade"	"Remove one -2 card"	"-(-2)"	1
"Blinkblade"	"Replace one -1 card with one +1 card"	"-(-1).+(+1)"	2
"Blinkblade"	"Replace one -1 card with one +0 bleed card"	"-(-1).+(+0&bl)"	2
"Blinkblade"	"Replace one +0 card with one +1 immobilise card"	"-(+0).+(+1&im)"	2
"Blinkblade"	"Replace one +0 card with with one ´Place this card in your active area. On your next attack, discard this card to add +2´ rolling card"	"-(+0).+(+2)"	3
"Blinkblade"	"Replace two +1 cards with two +2 cards"	"-(+1).-(+1).+(+2).+(+2)"	1
"Blinkblade"	"Add one -1 ´Gain 1 time token´ card"	"(-1&tt)"	2
"Blinkblade"	"Add one +2 ´Regen, target self´ rolling card"	"+(+2&re&r)"	2
"BannerSpear"	"Replace one -1 card with one shield 1 rolling card"	"-(-1).+(+1&sh&r)"	3
"BannerSpear"	"Replace one +0 card with one +1 'Add +1 for each ally adjacent to the target' card"	"-(+0).+(+1&al)"	2
"BannerSpear"	"Add one +1 disarm card"	"+(+1&dis)"	2
"BannerSpear"	"Add one +2 push 1 card"	"+(+2&pu+1)"	2
"BannerSpear"	"Add two +1 rolling cards"	"+(+1&r).+(+1&r)"	2
"BannerSpear"	"Add two 'Heal 1, target self' rolling cards"	"+(+0&he+1&r).+(+0&he+1&r)"	2
"BannerSpear"	"Ignore item -1 effects and remove one -1 card"	"-(-1)"	1
"Boneshaper"	"Replace one -1 card with one +0 curse card"	"-(-1).+(+0&cu)"	2
"Boneshaper"	"Replace one -1 card with one +0 poison card"	"-(-1).+(+0&po)"	2
"Boneshaper"	"Replace one -2 card with one +0 card"	"-(-2).+(+0)"	1
"Boneshaper"	"Replace one +0 card with one +1 'Kill the attacking summon to instead add +4' card"	"-(+0).+(+1&kl)"	3
"Boneshaper"	"Add three 'Heal 1, target Boneshaper' cards"	"+(+0&he+1&r).+(+0&he+1&r).+(+0&he+1&r)"	2
"Boneshaper"	"Add one +2 'earth or dark element' card"	"+(+2&(er/da))"	3
"Boneshaper"	"Ignore scenario -1 and add two +1 cards"	"+(+1).+(+1)"	1
"Drifter"	"Replace one -1 card with one +1 card"	"-(-1).+(+1)"	3
"Drifter"	"Replace one -2 card with one +0 card"	"-(-2).+(+0)"	1
"Drifter"	"Replace one +1 card with two +0 'Move one of your character tokens backwards one slot' card"	"-(+1).+(+0&mo).+(+0&mo)"	2
"Drifter"	"Replace two +0 cards with two pierce 3 rolling cards"	"-(+0).-(+0).+(+0&pe+3&r).+(+0&pe+3&r)"	1
"Drifter"	"Replace two +0 cards with  two push 2 rolling cards"	"-(+0).-(+0).+(+0&pu+2&r).+(+0&pu+2&r)"	1
"Drifter"	"Add one +3 card"	"+(+3)"	1
"Drifter"	"Add one +2 immoblise card"	"+(+2&im)"	2
